,tpid,tp_name,genename1,genename2,tp_moatype,tp_tcrd_tdl,gosemsinbp,gosemsincc,gosemsinmf,tp_keggpathways_no,tp_reactomepathways_no,tp_wikipathways_no,tp_associateddrugs_no,tp_associateddiseases_no,dcid,dc_name,dc_sourcetype,fdid,fd_name,md_name,maxphase
1130,TP00403,CD274;ROS1,CD274,ROS1,CET+CIT,Tclin+Tclin,0.255,0.442,1.0,0,0,0,1,1,DC00344,Avelumab;Lorlatinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
1131,TP00404,CD274;SEMA4D,CD274,SEMA4D,CET+CIT,Tbio+Tclin,0.38,0.562,1.0,0,0,0,1,1,DC00348,Avelumab;Pepinemab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
1132,TP00405,CD274;SLC39A6,CD274,SLC39A6,CET+CIT,Tbio+Tclin,0.074,0.584,0.1,0,0,0,1,1,DC00286,Atezolizumab;Ladiratuzumab Vedotin,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
1133,TP00406,CD274;SMO,CD274,SMO,CET+CIT,Tclin+Tclin,0.289,0.636,1.0,0,0,0,1,1,DC00319,Atezolizumab;Vismodegib,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 2
1134,TP00407,CD274;STAT3,CD274,STAT3,CET+CIT,Tchem+Tclin,0.419,0.596,1.0,1,1,2,1,2,DC00844,Danvatirsen;Durvalumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
1135,TP00407,CD274;STAT3,CD274,STAT3,CET+CIT,Tchem+Tclin,0.419,0.596,1.0,1,1,2,1,2,DC00844,Danvatirsen;Durvalumab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1136,TP00408,CD274;STING1,CD274,STING1,CET+CET,Tchem+Tclin,0.302,0.571,1.0,0,0,0,1,2,DC00305,Atezolizumab;SB11285,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1
1137,TP00408,CD274;STING1,CD274,STING1,CET+CET,Tchem+Tclin,0.302,0.571,1.0,0,0,0,1,2,DC00305,Atezolizumab;SB11285,DrugComb,FD00026,Melanoma,Melanoma,Phase 1
1138,TP00409,CD274;TACSTD2,CD274,TACSTD2,CET+CIT,Tclin+Tclin,0.289,0.693,1.0,0,0,0,3,1,DC00864,Datopotamab Deruxtecan;Durvalumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1141,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC00300,Atezolizumab;RO7496353,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1142,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00006,Bladder Cancer,Bladder Cancer,Phase 2
1143,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00007,Breast Cancer,Breast Cancer,Phase 2
1144,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
1145,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2
1146,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00022,Liver Cancer,Liver Cancer,Phase 2|Phase 3
1148,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00031,Neuroblastoma,Other Cancer,Phase 2
1149,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00033,Other Cancer,Other Cancer,Phase 2
1150,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 2
1151,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 1|Phase 2
1152,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00040,Soft Tissue Sarcoma,Other Cancer,Phase 2
1153,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00041,Stomach Cancer,Stomach Cancer,Phase 1|Phase 2
1154,TP00410,CD274;TGFB1,CD274,TGFB1,CET+CET,Tbio+Tclin,0.361,0.544,1.0,0,0,3,9,13,DC02044,Bintrafusp Alfa,BsAb,FD00042,Thymic Carcinoma,Other Cancer,Phase 2
1165,TP00411,CD274;TGFB2,CD274,TGFB2,CET+CET,Tbio+Tclin,0.291,0.373,1.0,0,0,2,1,1,DC00314,Atezolizumab;Trabedersen,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
1166,TP00412,CD274;TGFBR1,CD274,TGFBR1,CET+CIT,Tchem+Tclin,0.314,0.559,1.0,0,0,0,4,3,DC01457,LY3200882;Lodapolimab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1167,TP00412,CD274;TGFBR1,CD274,TGFBR1,CET+CIT,Tchem+Tclin,0.314,0.559,1.0,0,0,0,4,3,DC00921,Durvalumab;Galunisertib,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 1
1168,TP00412,CD274;TGFBR1,CD274,TGFBR1,CET+CIT,Tchem+Tclin,0.314,0.559,1.0,0,0,0,4,3,DC00952,Durvalumab;Vactosertib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
1170,TP00413,CD274;TGFBR2,CD274,TGFBR2,CET+CIT,Tchem+Tclin,0.329,0.601,1.0,0,0,1,1,2,DC02045,BJ005,BsAb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1
1171,TP00413,CD274;TGFBR2,CD274,TGFBR2,CET+CIT,Tchem+Tclin,0.329,0.601,1.0,0,0,1,1,2,DC02045,BJ005,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1172,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00006,Bladder Cancer,Bladder Cancer,Phase 1|Phase 2
1173,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
1174,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00014,Esophageal Cancer,Esophageal Cancer,Phase 1|Phase 2
1175,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2
1176,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 3
1177,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00026,Melanoma,Melanoma,Phase 2
1178,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 2
1179,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC00311,Atezolizumab;Tiragolumab,DrugComb,FD00041,Stomach Cancer,Stomach Cancer,Phase 1|Phase 2
1182,TP00414,CD274;TIGIT,CD274,TIGIT,CET+CET,Tbio+Tclin,0.462,0.591,1.0,1,0,1,4,9,DC02127,HLX301,BsAb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1|Phase 2
1185,TP00415,CD274;TLR7,CD274,TLR7,CET+CET,Tclin+Tclin,0.431,0.628,1.0,0,0,1,2,2,DC00947,Durvalumab;Telratolimod,DrugComb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1
1186,TP00415,CD274;TLR7,CD274,TLR7,CET+CET,Tclin+Tclin,0.431,0.628,1.0,0,0,1,2,2,DC00244,Atezolizumab;BDB001,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1187,TP00416,CD274;TLR8,CD274,TLR8,CET+CET,Tchem+Tclin,0.476,0.732,0.325,0,0,1,2,2,DC00244,Atezolizumab;BDB001,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1188,TP00416,CD274;TLR8,CD274,TLR8,CET+CET,Tchem+Tclin,0.476,0.732,0.325,0,0,1,2,2,DC00947,Durvalumab;Telratolimod,DrugComb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1
1189,TP00417,CD274;TLR9,CD274,TLR9,CET+CIT,Tclin+Tclin,0.522,0.645,0.576,1,0,0,1,1,DC00318,Atezolizumab;Vidutolimod,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1190,TP00418,CD274;TNFRSF4,CD274,TNFRSF4,CET+CET,Tchem+Tclin,0.404,0.595,1.0,0,0,1,2,1,DC02091,EMB09,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1192,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC00263,Atezolizumab;DSP107,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1|Phase 2
1193,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC00263,Atezolizumab;DSP107,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1|Phase 2
1194,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02187,MCLA145,BsAb,FD00019,Hematologic Malignancies,Hematologic Malignancy,Phase 1
1195,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02187,MCLA145,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1197,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02003,Acasunlimab,BsAb,FD00006,Bladder Cancer,Bladder Cancer,Phase 1|Phase 2
1198,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02003,Acasunlimab,BsAb,FD00007,Breast Cancer,Breast Cancer,Phase 1|Phase 2
1199,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02003,Acasunlimab,BsAb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 1|Phase 2
1201,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02003,Acasunlimab,BsAb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1|Phase 2
1203,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02230,QLF31907,BsAb,FD00026,Melanoma,Melanoma,Phase 2
1205,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02022,AP203,BsAb,FD00014,Esophageal Cancer,Esophageal Cancer,Phase 1|Phase 2
1211,TP00419,CD274;TNFRSF9,CD274,TNFRSF9,CET+CET,Tbio+Tclin,0.245,0.58,1.0,0,0,1,12,11,DC02026,ATG101,BsAb,FD00024,Lymphoma,Hematologic Malignancy,Phase 1
1215,TP00420,CD274;TNFSF4,CD274,TNFSF4,CET+CIT,Tbio+Tclin,0.589,0.563,1.0,0,0,1,1,1,DC00320,Atezolizumab;Vonlerolizumab,DrugComb,FD00006,Bladder Cancer,Bladder Cancer,Phase 2
1216,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00443,Bevacizumab;Durvalumab,DrugComb,FD00007,Breast Cancer,Breast Cancer,Early Phase 1
1217,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00443,Bevacizumab;Durvalumab,DrugComb,FD00022,Liver Cancer,Liver Cancer,Phase 2
1218,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00246,Atezolizumab;Bevacizumab,DrugComb,FD00006,Bladder Cancer,Bladder Cancer,Phase 2
1219,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00246,Atezolizumab;Bevacizumab,DrugComb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 2
1220,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00246,Atezolizumab;Bevacizumab,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2
1221,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00246,Atezolizumab;Bevacizumab,DrugComb,FD00020,Kidney Cancer,Kidney Cancer,Phase 3
1223,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00246,Atezolizumab;Bevacizumab,DrugComb,FD00023,Lung Cancer,Lung Cancer,Approval
1224,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00246,Atezolizumab;Bevacizumab,DrugComb,FD00026,Melanoma,Melanoma,Phase 2
1225,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC00246,Atezolizumab;Bevacizumab,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 2
1229,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC02223,PM8002,BsAb,FD00029,Mesothelioma,Other Cancer,Phase 2
1230,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC02223,PM8002,BsAb,FD00032,Neuroendocrine Tumor,Other Cancer,Phase 2
1231,TP00421,CD274;VEGFA,CD274,VEGFA,CET+CET,Tclin+Tclin,0.318,0.497,1.0,0,0,2,4,12,DC02030,B1962,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1232,TP00422,CD274;WEE1,CD274,WEE1,CET+CIT,Tchem+Tclin,0.141,0.532,1.0,0,0,0,1,1,DC00083,Adavosertib;Durvalumab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1233,TP00423,CD274;XIAP,CD274,XIAP,CET+CIT,Tchem+Tclin,0.326,0.5,1.0,0,0,0,1,1,DC00354,Avelumab;Xevinapant,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1234,TP00424,CD276;CD28,CD276,CD28,CET+CIT,Tbio+Tbio,0.601,0.629,0.712,1,0,1,1,1,DC02299,XmAb808,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1235,TP00425,CD276;CD3D,CD276,CD3D,CET+CIT,Tbio+Tclin,0.359,0.663,0.75,0,0,0,2,3,DC02057,CC-3,BsAb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
1236,TP00425,CD276;CD3D,CD276,CD3D,CET+CIT,Tbio+Tclin,0.359,0.663,0.75,0,0,0,2,3,DC02205,Obrindatamab,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1237,TP00425,CD276;CD3D,CD276,CD3D,CET+CIT,Tbio+Tclin,0.359,0.663,0.75,0,0,0,2,3,DC02205,Obrindatamab,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1238,TP00426,CD276;CD3E,CD276,CD3E,CET+CIT,Tbio+Tclin,0.533,0.535,0.651,0,0,0,2,3,DC02057,CC-3,BsAb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
1239,TP00426,CD276;CD3E,CD276,CD3E,CET+CIT,Tbio+Tclin,0.533,0.535,0.651,0,0,0,2,3,DC02205,Obrindatamab,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1240,TP00426,CD276;CD3E,CD276,CD3E,CET+CIT,Tbio+Tclin,0.533,0.535,0.651,0,0,0,2,3,DC02205,Obrindatamab,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1241,TP00427,CD276;CD3G,CD276,CD3G,CET+CIT,Tbio+Tclin,0.394,0.611,0.661,0,0,0,2,3,DC02205,Obrindatamab,BsAb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1242,TP00427,CD276;CD3G,CD276,CD3G,CET+CIT,Tbio+Tclin,0.394,0.611,0.661,0,0,0,2,3,DC02205,Obrindatamab,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1243,TP00427,CD276;CD3G,CD276,CD3G,CET+CIT,Tbio+Tclin,0.394,0.611,0.661,0,0,0,2,3,DC02057,CC-3,BsAb,FD00011,Colorectal Cancer,Colorectal Cancer,Phase 1
1244,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00020,Kidney Cancer,Kidney Cancer,Phase 1
1245,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00022,Liver Cancer,Liver Cancer,Phase 1
1246,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1247,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00026,Melanoma,Melanoma,Phase 1
1248,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1249,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
1250,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 1
1251,TP00428,CD276;CTLA4,CD276,CTLA4,CET+CIT,Tbio+Tclin,0.509,0.54,1.0,1,0,1,2,8,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
1253,TP00429,CD276;EGFR,CD276,EGFR,CIT+CIT,Tbio+Tclin,0.21,0.363,0.474,0,0,0,1,1,DC02134,IBI334,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
1254,TP00430,CD276;LAG3,CD276,LAG3,CET+CIT,Tbio+Tclin,0.581,0.849,0.699,0,0,0,1,1,DC00993,Enoblituzumab;Tebotelimab,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2|Phase 3
1255,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00020,Kidney Cancer,Kidney Cancer,Phase 1
1256,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00022,Liver Cancer,Liver Cancer,Phase 1
1257,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1258,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00026,Melanoma,Melanoma,Phase 1
1259,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1260,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1
1261,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 1
1262,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC01450,Lorigerlimab;Vobramitamab Duocarmazine,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
1264,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC00993,Enoblituzumab;Tebotelimab,DrugComb,FD00018,Head and Neck Cancer,Head and Neck Cancer,Phase 2|Phase 3
1268,TP00431,CD276;PDCD1,CD276,PDCD1,CET+CIT,Tbio+Tclin,0.399,0.941,1.0,1,0,1,7,10,DC00991,Enoblituzumab;Pembrolizumab,DrugComb,FD00006,Bladder Cancer,Bladder Cancer,Phase 2
1272,TP00432,CD28;CTLA4,CD28,CTLA4,CET+CET,Tbio+Tclin,0.429,0.833,1.0,4,0,7,1,1,DC02077,Davoceticept,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1273,TP00433,CD28;EGFR,CD28,EGFR,CET+CIT,Tbio+Tclin,0.425,0.616,0.56,1,3,0,1,1,DC02239,REGN7075,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1|Phase 2
1274,TP00434,CD28;FOLH1,CD28,FOLH1,CET+CET,Tbio+Tclin,0.122,0.802,0.289,0,0,0,1,1,DC02199,Nezastomig,BsAb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1|Phase 2
1275,TP00435,CD28;MUC16,CD28,MUC16,CET+CIT,Tbio+Tbio,0.268,0.576,1.0,0,0,0,1,1,DC02237,REGN5668,BsAb,FD00034,Ovarian Cancer,Ovarian Cancer,Phase 1|Phase 2
1276,TP00436,CD28;PDCD1,CD28,PDCD1,CET+CET,Tbio+Tclin,0.375,0.72,1.0,3,0,3,3,2,DC00870,Davoceticept;Pembrolizumab,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
1277,TP00436,CD28;PDCD1,CD28,PDCD1,CET+CET,Tbio+Tclin,0.375,0.72,1.0,3,0,3,3,2,DC01775,Pembrolizumab;XmAb808,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 1
1279,TP00437,CD33;CD3D,CD33,CD3D,CET+CIT,Tclin+Tclin,0.326,0.666,0.725,1,1,0,5,3,DC02092,Emerfetamab,BsAb,FD00021,Leukemia,Hematologic Malignancy,Early Phase 1
1281,TP00437,CD33;CD3D,CD33,CD3D,CET+CIT,Tclin+Tclin,0.326,0.666,0.725,1,1,0,5,3,DC02290,Vixtimotamab,BsAb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
1282,TP00437,CD33;CD3D,CD33,CD3D,CET+CIT,Tclin+Tclin,0.326,0.666,0.725,1,1,0,5,3,DC02290,Vixtimotamab,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1288,TP00438,CD33;CD3E,CD33,CD3E,CET+CIT,Tclin+Tclin,0.453,0.686,0.648,1,1,0,5,3,DC02290,Vixtimotamab,BsAb,FD00021,Leukemia,Hematologic Malignancy,Phase 1
1289,TP00438,CD33;CD3E,CD33,CD3E,CET+CIT,Tclin+Tclin,0.453,0.686,0.648,1,1,0,5,3,DC02290,Vixtimotamab,BsAb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
1290,TP00438,CD33;CD3E,CD33,CD3E,CET+CIT,Tclin+Tclin,0.453,0.686,0.648,1,1,0,5,3,DC02290,Vixtimotamab,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1297,TP00439,CD33;CD3G,CD33,CD3G,CET+CIT,Tclin+Tclin,0.373,0.697,0.654,1,1,0,5,3,DC02092,Emerfetamab,BsAb,FD00021,Leukemia,Hematologic Malignancy,Early Phase 1
1299,TP00439,CD33;CD3G,CD33,CD3G,CET+CIT,Tclin+Tclin,0.373,0.697,0.654,1,1,0,5,3,DC02157,JNJ67571244,BsAb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
1304,TP00439,CD33;CD3G,CD33,CD3G,CET+CIT,Tclin+Tclin,0.373,0.697,0.654,1,1,0,5,3,DC02290,Vixtimotamab,BsAb,FD00033,Other Cancer,Other Cancer,Phase 1
1306,TP00440,CD33;CRBN,CD33,CRBN,CIT+CIT,Tclin+Tclin,0.21,0.522,0.602,0,0,0,1,1,DC01393,Lenalidomide;lintuzumab,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
