dcid	dc_name	dc_sourcetype	fdid	fd_name	md_name	maxphase
DC00465	Bevacizumab;Olaparib	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 3
DC00465	Bevacizumab;Olaparib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00465	Bevacizumab;Olaparib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Approval
DC00466	Bevacizumab;Onartuzumab	DrugComb	FD00017	Glioma	Glioma	Phase 2
DC00467	Bevacizumab;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00468	Bevacizumab;Pamiparib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00469	Bevacizumab;Panobinostat	DrugComb	FD00017	Glioma	Glioma	Phase 1|Phase 2
DC00470	Bevacizumab;Pembrolizumab	DrugComb	FD00017	Glioma	Glioma	Phase 2
DC00470	Bevacizumab;Pembrolizumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Approval
DC00470	Bevacizumab;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00470	Bevacizumab;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Approval
DC00470	Bevacizumab;Pembrolizumab	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Approval
DC00470	Bevacizumab;Pembrolizumab	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Approval
DC00470	Bevacizumab;Pembrolizumab	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Approval
DC00471	Bevacizumab;Pucotenlimab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC00472	Bevacizumab;Ridaforolimus	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00473	Bevacizumab;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00474	Bevacizumab;Rucaparib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00475	Bevacizumab;Selinexor	DrugComb	FD00017	Glioma	Glioma	Phase 1|Phase 2
DC00476	Bevacizumab;Serplulimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00476	Bevacizumab;Serplulimab	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00477	Bevacizumab;Sintilimab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 2|Phase 3
DC00477	Bevacizumab;Sintilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00478	Bevacizumab;Sirolimus	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC00479	Bevacizumab;Sorafenib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00479	Bevacizumab;Sorafenib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00480	Bevacizumab;Sunitinib	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1|Phase 2
DC00481	Bevacizumab;Temsirolimus	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 2
DC00481	Bevacizumab;Temsirolimus	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00481	Bevacizumab;Temsirolimus	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00482	Bevacizumab;Tisotumab Vedotin	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1|Phase 2
DC00483	Bevacizumab;Toripalimab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 2
DC00483	Bevacizumab;Toripalimab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 3
DC00483	Bevacizumab;Toripalimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00484	Bevacizumab;TRK950	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00484	Bevacizumab;TRK950	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00485	Bevacizumab;Tucidinostat	DrugComb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 2
DC00485	Bevacizumab;Tucidinostat	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC00486	Bevacizumab;Vemurafenib	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00487	Bevacizumab;Vorinostat	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1|Phase 2
DC00488	Bevacizumab;XB002	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00489	Bexarotene;Erlotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00490	Bexarotene;Gefitinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00491	Bexarotene;Vorinostat	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00492	Bexmarilimab;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00493	BGB15025;BGBA445	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00494	BGB15025;Tislelizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00495	BGB30813;Tislelizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00496	BGB3245;Mirdametinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00497	BGB43395;Fulvestrant	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00498	BGBA445;Sitravatinib;Tislelizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00499	BGBA445;Tislelizumab	DrugComb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1|Phase 2
DC00499	BGBA445;Tislelizumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 1|Phase 2
DC00499	BGBA445;Tislelizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00499	BGBA445;Tislelizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC00500	BGBB167;Tislelizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00501	BI1387446;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00502	BI1701963;BI3011441	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00503	BI1701963;Sotorasib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00504	BI1701963;Trametinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00505	BI1703880;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00506	BI754111;Ezabenlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00506	BI754111;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Early Phase 1
DC00507	BI764532;Ezabenlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00507	BI764532;Ezabenlimab	DrugComb	FD00032	Neuroendocrine Tumor	Other Cancer	Phase 1|Phase 2
DC00508	BI765049;Ezabenlimab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC00508	BI765049;Ezabenlimab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC00508	BI765049;Ezabenlimab	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC00508	BI765049;Ezabenlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00508	BI765049;Ezabenlimab	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1
DC00509	BI765063;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00510	BI765179;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00511	BI770371;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00512	BI836826;Ibrutinib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00513	BI836826;Idelalisib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00514	BI836826;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00515	BI836880;Ezabenlimab	DrugComb	FD00002	Anal Cancer	Other Cancer	Phase 2
DC00515	BI836880;Ezabenlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00515	BI836880;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00516	BI891065;Ezabenlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00516	BI891065;Ezabenlimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00517	Bicalutamide;Degarelix	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 2
DC00518	Bicalutamide;Everolimus	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 2
DC00519	Bicalutamide;Goserelin	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 3
DC00520	Bicalutamide;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00521	Bicalutamide;Palbociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00522	Bicalutamide;Panobinostat	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC00523	Bicalutamide;Temsirolimus	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC00524	Bicalutamide;Vandetanib	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 2
DC00525	Binimetinib;DCC3116	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00526	Binimetinib;Encorafenib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Approval
DC00526	Binimetinib;Encorafenib	DrugComb	FD00026	Melanoma	Melanoma	Approval
DC00526	Binimetinib;Encorafenib	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 2
DC00526	Binimetinib;Encorafenib	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC00527	Binimetinib;Encorafenib;Ipilimumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC00528	Binimetinib;Encorafenib;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00529	Binimetinib;Encorafenib;Sasanlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00530	Binimetinib;Erlotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00531	Binimetinib;Exarafenib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00532	Binimetinib;Futibatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00533	Binimetinib;Ganitumab	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 1|Phase 2
DC00534	Binimetinib;Imatinib	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00535	Binimetinib;Lorlatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00536	Binimetinib;Nilotinib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00537	Binimetinib;Palbociclib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00538	Binimetinib;Panitumumab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC00539	Binimetinib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00540	Binimetinib;Pexidartinib	DrugComb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 1
DC00541	Binimetinib;PF07799933	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00542	Binimetinib;Ribociclib	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC00543	Binimetinib;Ripretinib	DrugComb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 1|Phase 2
DC00544	Binimetinib;Tinlorafenib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00545	Bintrafusp Alfa;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00546	Bintrafusp Alfa;Pimasertib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00547	BIO106;Pembrolizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00548	Birinapant;Conatumumab	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1
DC00549	Birinapant;Pembrolizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00550	BLB01D1;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00551	BLB01D1;SI-B003	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00552	Blinatumomab;Lenalidomide	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00553	Blinatumomab;Pembrolizumab	DrugComb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 1
DC00553	Blinatumomab;Pembrolizumab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1|Phase 2
DC00553	Blinatumomab;Pembrolizumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00554	BLU701;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00555	BMS690514;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00556	BMS754807;Cetuximab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC00556	BMS754807;Cetuximab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC00557	BMS754807;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00558	BMS833923;Dasatinib	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC00559	BMS908662;Cetuximab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC00560	BMS986156;Ipilimumab;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00561	BMS986156;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00562	BMS986158;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00563	BMS986178;Ipilimumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00564	BMS986178;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00565	BMS986242;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00566	BMS986310;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00567	BMS986340;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00568	BMS986360;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00569	BMS986416;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00570	Bomedemstat;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00571	Bortezomib;Dacetuzumab	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00572	Bortezomib;Duvelisib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00573	Bortezomib;Everolimus	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00574	Bortezomib;Ibrutinib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00575	Bortezomib;KW2478	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC00576	Bortezomib;Lenalidomide	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00576	Bortezomib;Lenalidomide	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00577	Bortezomib;Luminespib	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC00578	Bortezomib;Modakafusp Alfa	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00579	Bortezomib;Modakafusp Alfa;Pomalidomide	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00580	Bortezomib;Obatoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC00581	Bortezomib;Ofatumumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00582	Bortezomib;Panobinostat	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00582	Bortezomib;Panobinostat	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC00583	Bortezomib;Perifosine	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC00584	Bortezomib;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00585	Bortezomib;Romidepsin	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00585	Bortezomib;Romidepsin	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00585	Bortezomib;Romidepsin	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 2
DC00586	Bortezomib;Ruxolitinib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00587	Bortezomib;Selinexor	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Approval
DC00588	Bortezomib;Teclistamab	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00589	Bortezomib;Temsirolimus	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC00590	Bortezomib;Tipifarnib	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1|Phase 2
DC00591	Bortezomib;Veligrotug	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00592	Bortezomib;Vorinostat	DrugComb	FD00017	Glioma	Glioma	Phase 2
DC00592	Bortezomib;Vorinostat	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00592	Bortezomib;Vorinostat	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00592	Bortezomib;Vorinostat	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 3
DC00592	Bortezomib;Vorinostat	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00593	Boserolimab;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00594	Brentuximab Vedotin;Lenalidomide	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00595	Brentuximab Vedotin;Nivolumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC00596	Brentuximab Vedotin;Pembrolizumab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 2
DC00596	Brentuximab Vedotin;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00596	Brentuximab Vedotin;Pembrolizumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00596	Brentuximab Vedotin;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00597	Brentuximab Vedotin;SEA-TGT	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00598	Brentuximab Vedotin;Umbralisib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00599	Brigimadlin;Ezabenlimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00600	Brivanib;Niraparib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1
DC00601	BT5528;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00602	Budigalimab;Giloralimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00603	Budigalimab;Giloralimab;Revdofilimab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00603	Budigalimab;Giloralimab;Revdofilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00604	Budigalimab;Livmoniplimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00605	Budigalimab;Revdofilimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00606	Budigalimab;Rovalpituzumab Tesirine	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00607	Budigalimab;SC004	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00607	Budigalimab;SC004	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1
DC00608	Budigalimab;SC006	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1
DC00609	Budigalimab;TTX030	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00610	Budigalimab;Venetoclax	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00611	Buparlisib;Capmatinib	DrugComb	FD00017	Glioma	Glioma	Phase 1|Phase 2
DC00612	Buparlisib;Everolimus	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00613	Buparlisib;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00614	Buparlisib;Fulvestrant;Ribociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00615	Buparlisib;Gefitinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00616	Buparlisib;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00617	Buparlisib;Letrozole;Ribociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00618	Buparlisib;Panitumumab	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC00619	Buparlisib;Ruxolitinib	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00620	Buparlisib;Sonidegib	DrugComb	FD00005	Basal Cell Carcinoma	Other Cancer	Phase 2
DC00620	Buparlisib;Sonidegib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00621	Buparlisib;Tamoxifen	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00622	Buparlisib;Trametinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00623	Buparlisib;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00624	BYON4228;Rituximab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1
DC00625	Cabiralizumab;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00625	Cabiralizumab;Nivolumab	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00625	Cabiralizumab;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00626	Cabiralizumab;Sotigalimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00627	Cabozantinib;Durvalumab	DrugComb	FD00006	Bladder Cancer	Bladder Cancer	Phase 2
DC00628	Cabozantinib;Erlotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00628	Cabozantinib;Erlotinib	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC00629	Cabozantinib;Ipilimumab;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00629	Cabozantinib;Ipilimumab;Nivolumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 2
DC00629	Cabozantinib;Ipilimumab;Nivolumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC00630	Cabozantinib;KO2806	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00631	Cabozantinib;Lanreotide	DrugComb	FD00032	Neuroendocrine Tumor	Other Cancer	Phase 2
DC00632	Cabozantinib;Niraparib	DrugComb	FD00006	Bladder Cancer	Bladder Cancer	Phase 1|Phase 2
DC00633	Cabozantinib;Nivolumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00633	Cabozantinib;Nivolumab	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Approval
DC00633	Cabozantinib;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00633	Cabozantinib;Nivolumab	DrugComb	FD00032	Neuroendocrine Tumor	Other Cancer	Phase 2
DC00634	Cabozantinib;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00635	Cabozantinib;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00636	Cadonilimab;Dresbuxelimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00636	Cadonilimab;Dresbuxelimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00637	Cadonilimab;Lenvatinib	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1|Phase 2
DC00638	Camidanlumab Tesirine;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00639	Camizestrant;Saruparib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00640	Camonsertib;RP6306	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00641	Camrelizumab;Dalpiciclib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00642	Camrelizumab;Famitinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00643	Camrelizumab;Fuzuloparib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00644	Camrelizumab;Ipilimumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00645	Camrelizumab;Lenvatinib	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1|Phase 2
DC00646	Camrelizumab;Regorafenib	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 1|Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00014	Esophageal Cancer	Esophageal Cancer	Phase 3
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00016	Gestational Trophoblastic Neoplasia	Other Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 1|Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00035	Pancreatic Cancer	Pancreatic Cancer	Phase 2
DC00647	Camrelizumab;Rivoceranib	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC00648	Canakinumab;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
