tpid	tp_name	genename1	genename2	tp_moatype	tp_tcrd_tdl	gosemsinbp	gosemsincc	gosemsinmf	tp_keggpathways_no	tp_reactomepathways_no	tp_wikipathways_no	tp_associateddrugs_no	tp_associateddiseases_no
TP00211	BIRC5;CD3E	BIRC5	CD3E	CET+CIT	Tchem+Tclin	0.322	0.403	0.629	0	0	1	1	2
TP00212	BIRC5;CD3G	BIRC5	CD3G	CET+CIT	Tchem+Tclin	0.308	0.415	0.623	0	0	1	1	2
TP00213	BRAF;CDK4	BRAF	CDK4	CIT+CIT	Tclin+Tclin	0.408	0.533	0.822	12	0	9	2	2
TP00214	BRAF;CDK6	BRAF	CDK6	CIT+CIT	Tclin+Tclin	0.408	0.643	0.858	10	0	6	2	2
TP00215	BRAF;CSF1R	BRAF	CSF1R	CET+CIT	Tclin+Tclin	0.486	0.673	0.787	4	0	2	1	1
TP00216	BRAF;CTLA4	BRAF	CTLA4	CET+CIT	Tclin+Tclin	0.269	0.678	1.0	0	0	0	1	1
TP00217	BRAF;EGFR	BRAF	EGFR	CIT+CIT	Tclin+Tclin	0.535	0.581	0.718	25	0	15	6	4
TP00218	BRAF;ERBB3	BRAF	ERBB3	CIT+CIT	Tclin+Tclin	0.557	0.579	0.711	4	0	3	1	1
TP00219	BRAF;IL2RA	BRAF	IL2RA	CET+CIT	Tclin+Tclin	0.307	0.549	0.408	1	0	1	1	1
TP00220	BRAF;IL2RB	BRAF	IL2RB	CET+CIT	Tclin+Tclin	0.428	0.678	0.37	1	0	1	1	1
TP00221	BRAF;IL2RG	BRAF	IL2RG	CIT+CIT	Tclin+Tclin	0.385	0.655	0.365	1	0	1	1	1
TP00222	BRAF;KRAS	BRAF	KRAS	CIT+CIT	Tclin+Tclin	0.485	0.685	0.43	39	3	28	2	1
TP00223	BRAF;MAP2K1	BRAF	MAP2K1	CIT+CIT	Tclin+Tclin	0.561	0.771	0.82	44	10	33	15	8
TP00224	BRAF;MAP2K2	BRAF	MAP2K2	CIT+CIT	Tclin+Tclin	0.529	0.671	0.859	37	10	27	13	8
TP00225	BRAF;MAPK1	BRAF	MAPK1	CIT+CIT	Tchem+Tclin	0.476	0.646	0.866	44	11	36	1	2
TP00226	BRAF;MAPK3	BRAF	MAPK3	CIT+CIT	Tchem+Tclin	0.491	0.728	0.894	44	11	29	1	2
TP00227	BRAF;MTOR	BRAF	MTOR	CIT+CIT	Tclin+Tclin	0.377	0.632	0.777	17	0	15	3	3
TP00228	BRAF;PDCD1	BRAF	PDCD1	CET+CIT	Tclin+Tclin	0.321	0.552	1.0	0	0	0	3	3
TP00229	BRAF;PIK3CA	BRAF	PIK3CA	CIT+CIT	Tclin+Tclin	0.432	0.604	0.769	33	0	22	1	1
TP00230	BRAF;PIK3CB	BRAF	PIK3CB	CIT+CIT	Tchem+Tclin	0.412	0.791	0.693	33	0	18	1	1
TP00231	BRAF;PIK3CD	BRAF	PIK3CD	CIT+CIT	Tclin+Tclin	0.394	0.696	0.688	33	0	19	1	1
TP00232	BRAF;PIK3CG	BRAF	PIK3CG	CIT+CIT	Tclin+Tclin	0.389	0.658	0.822	1	0	6	1	1
TP00233	BRAF;PTK2	BRAF	PTK2	CET+CIT	Tclin+Tclin	0.473	0.734	0.757	8	0	9	1	3
TP00234	BRAF;RXRA	BRAF	RXRA	CIT+CIT	Tclin+Tclin	0.361	0.685	0.409	6	0	2	1	1
TP00235	BRAF;RXRB	BRAF	RXRB	CIT+CIT	Tclin+Tclin	0.333	0.751	0.343	5	0	2	1	1
TP00236	BRAF;RXRG	BRAF	RXRG	CIT+CIT	Tclin+Tclin	0.364	0.655	0.362	5	0	2	1	1
TP00237	BRAF;TP53	BRAF	TP53	CIT+CIT	Tchem+Tclin	0.382	0.635	0.487	20	0	12	1	1
TP00238	BRAF;VEGFA	BRAF	VEGFA	CET+CIT	Tclin+Tclin	0.416	0.507	0.507	10	0	5	1	1
TP00239	BRD2;CD274	BRD2	CD274	CET+CIT	Tchem+Tclin	0.117	0.553	1.0	0	0	0	1	2
TP00240	BRD2;CYP19A1	BRD2	CYP19A1	CIT+CIT	Tchem+Tclin	0.216	0.498	0.269	0	0	0	1	1
TP00241	BRD2;ESR1	BRD2	ESR1	CIT+CIT	Tchem+Tclin	0.378	0.72	0.489	0	0	0	1	1
TP00242	BRD2;ESR2	BRD2	ESR2	CIT+CIT	Tchem+Tclin	0.43	0.907	0.405	0	0	0	1	1
TP00243	BRD2;PARP1	BRD2	PARP1	CIT+CIT	Tchem+Tclin	0.308	0.705	0.534	0	0	0	1	2
TP00244	BRD2;PARP2	BRD2	PARP2	CIT+CIT	Tchem+Tclin	0.354	0.848	0.612	0	0	0	1	2
TP00245	BRD2;PDCD1	BRD2	PDCD1	CET+CIT	Tchem+Tclin	0.139	0.268	1.0	0	0	0	1	1
TP00246	BRD3;CD274	BRD3	CD274	CET+CIT	Tchem+Tclin	0.119	0.414	1.0	0	0	0	1	2
TP00247	BRD3;CYP19A1	BRD3	CYP19A1	CIT+CIT	Tchem+Tclin	0.131	0.459	0.268	0	0	0	1	1
TP00248	BRD3;ESR1	BRD3	ESR1	CIT+CIT	Tchem+Tclin	0.32	0.56	0.503	0	0	0	1	1
TP00249	BRD3;ESR2	BRD3	ESR2	CIT+CIT	Tchem+Tclin	0.515	0.898	0.424	0	0	0	1	1
TP00250	BRD3;PARP1	BRD3	PARP1	CIT+CIT	Tchem+Tclin	0.241	0.612	0.52	0	0	0	1	2
TP00251	BRD3;PARP2	BRD3	PARP2	CIT+CIT	Tchem+Tclin	0.231	0.814	0.593	0	0	0	1	2
TP00252	BRD3;PDCD1	BRD3	PDCD1	CET+CIT	Tchem+Tclin	0.09	0.236	1.0	0	0	0	1	1
TP00253	BRD4;CD274	BRD4	CD274	CET+CIT	Tchem+Tclin	0.205	0.508	1.0	0	0	0	1	2
TP00254	BRD4;CYP19A1	BRD4	CYP19A1	CIT+CIT	Tchem+Tclin	0.212	0.455	0.254	0	0	0	1	1
TP00255	BRD4;ESR1	BRD4	ESR1	CIT+CIT	Tchem+Tclin	0.451	0.609	0.55	0	0	0	1	1
TP00256	BRD4;ESR2	BRD4	ESR2	CIT+CIT	Tchem+Tclin	0.565	0.918	0.473	0	0	0	1	1
TP00257	BRD4;PARP1	BRD4	PARP1	CIT+CIT	Tchem+Tclin	0.439	0.682	0.543	0	0	0	1	2
TP00258	BRD4;PARP2	BRD4	PARP2	CIT+CIT	Tchem+Tclin	0.405	0.881	0.559	0	0	0	1	2
TP00259	BRD4;PDCD1	BRD4	PDCD1	CET+CIT	Tchem+Tclin	0.149	0.216	1.0	0	1	0	1	1
TP00260	BRDT;CD274	BRDT	CD274	CET+CIT	Tchem+Tclin	0.153	0.414	0.788	0	0	0	1	2
TP00261	BRDT;CYP19A1	BRDT	CYP19A1	CIT+CIT	Tchem+Tclin	0.236	0.459	0.187	0	0	0	1	1
TP00262	BRDT;ESR1	BRDT	ESR1	CIT+CIT	Tchem+Tclin	0.421	0.56	0.387	0	0	1	1	1
TP00263	BRDT;ESR2	BRDT	ESR2	CIT+CIT	Tchem+Tclin	0.441	0.898	0.344	0	0	1	1	1
TP00264	BRDT;PARP1	BRDT	PARP1	CIT+CIT	Tchem+Tclin	0.321	0.612	0.387	0	0	1	1	2
TP00265	BRDT;PARP2	BRDT	PARP2	CIT+CIT	Tchem+Tclin	0.29	0.814	0.352	0	0	0	1	2
TP00266	BRDT;PDCD1	BRDT	PDCD1	CET+CIT	Tchem+Tclin	0.145	0.236	0.788	0	0	0	1	1
TP00267	BTK;CD19	BTK	CD19	CIT+CIT	Tclin+Tclin	0.399	0.585	nan	3	1	1	2	2
TP00268	BTK;CD274	BTK	CD274	CET+CIT	Tclin+Tclin	0.504	0.578	1.0	0	0	0	2	3
TP00269	BTK;CD37	BTK	CD37	CET+CIT	Tbio+Tclin	nan	0.553	1.0	0	0	0	1	1
TP00270	BTK;CD3D	BTK	CD3D	CET+CIT	Tclin+Tclin	0.321	0.709	0.468	2	0	0	1	2
TP00271	BTK;CD3E	BTK	CD3E	CET+CIT	Tclin+Tclin	0.468	0.593	0.474	2	0	0	1	2
TP00272	BTK;CD3G	BTK	CD3G	CET+CIT	Tclin+Tclin	0.374	0.711	0.455	1	2	0	1	2
TP00273	BTK;CDK4	BTK	CDK4	CIT+CIT	Tclin+Tclin	0.493	0.528	0.71	1	0	0	1	1
TP00274	BTK;CDK6	BTK	CDK6	CIT+CIT	Tclin+Tclin	0.43	0.653	0.733	1	0	0	1	1
TP00275	BTK;CDK9	BTK	CDK9	CIT+CIT	Tchem+Tclin	0.402	0.634	0.667	0	0	0	1	1
TP00276	BTK;CRBN	BTK	CRBN	CIT+CIT	Tclin+Tclin	0.18	0.828	0.551	0	1	0	3	3
TP00277	BTK;CSNK1E	BTK	CSNK1E	CIT+CIT	Tclin+Tclin	0.446	0.802	0.738	0	0	0	1	2
TP00278	BTK;EGFR	BTK	EGFR	CIT+CIT	Tclin+Tclin	0.471	0.701	0.701	0	0	0	1	1
TP00279	BTK;JAK1	BTK	JAK1	CIT+CIT	Tclin+Tclin	0.492	0.804	0.792	2	1	2	2	2
TP00280	BTK;JAK2	BTK	JAK2	CIT+CIT	Tclin+Tclin	0.522	0.742	0.776	0	1	3	2	3
TP00281	BTK;MALT1	BTK	MALT1	CIT+CIT	Tchem+Tclin	0.531	0.778	0.534	2	0	1	2	1
TP00282	BTK;MAPK1	BTK	MAPK1	CIT+CIT	Tchem+Tclin	0.478	0.691	0.713	4	3	5	1	2
TP00283	BTK;MAPK3	BTK	MAPK3	CIT+CIT	Tchem+Tclin	0.488	0.757	0.735	4	3	5	1	2
TP00284	BTK;MDM2	BTK	MDM2	CIT+CIT	Tchem+Tclin	0.35	0.761	0.565	1	0	0	2	3
TP00285	BTK;MS4A1	BTK	MS4A1	CIT+CIT	Tclin+Tclin	0.46	0.602	0.484	0	0	0	7	2
TP00286	BTK;MTOR	BTK	MTOR	CIT+CIT	Tclin+Tclin	0.397	0.657	0.678	0	0	1	2	1
TP00287	BTK;PDCD1	BTK	PDCD1	CET+CIT	Tclin+Tclin	0.365	0.497	1.0	0	1	0	3	4
TP00288	BTK;PIK3CD	BTK	PIK3CD	CIT+CIT	Tclin+Tclin	0.54	0.755	0.612	5	1	0	3	2
TP00289	BTK;ROR1	BTK	ROR1	CIT+CIT	Tbio+Tclin	0.377	0.644	0.506	0	0	0	1	2
TP00290	BTK;SYK	BTK	SYK	CIT+CIT	Tclin+Tclin	0.55	0.791	0.777	6	6	2	1	1
TP00291	BTLA;PDCD1	BTLA	PDCD1	CET+CET	Tbio+Tclin	0.465	0.809	1.0	0	0	1	2	1
TP00292	CAPRIN1;PDCD1	CAPRIN1	PDCD1	CET+CIT	Tbio+Tclin	0.098	0.38	1.0	0	0	0	2	2
TP00293	CAPRIN1;VEGFA	CAPRIN1	VEGFA	CET+CIT	Tbio+Tclin	0.178	0.586	0.582	0	0	0	1	2
TP00294	CBLB;PDCD1	CBLB	PDCD1	CET+CIT	Tchem+Tclin	0.334	0.59	1.0	1	0	0	1	1
TP00295	CCR2;PDCD1	CCR2	PDCD1	CET+CET	Tchem+Tclin	0.307	0.646	1.0	0	0	0	2	2
TP00296	CCR2;STING1	CCR2	STING1	CET+CET	Tchem+Tchem	0.318	0.594	0.56	0	0	0	1	1
TP00297	CCR4;CTLA4	CCR4	CTLA4	CET+CIT	Tclin+Tclin	0.367	0.645	1.0	0	0	0	1	1
TP00298	CCR4;IDO1	CCR4	IDO1	CET+CIT	Tchem+Tclin	0.314	0.28	0.195	0	0	0	1	1
TP00299	CCR4;PDCD1	CCR4	PDCD1	CET+CIT	Tclin+Tclin	0.375	0.801	1.0	0	0	0	2	6
TP00300	CCR4;TNFRSF9	CCR4	TNFRSF9	CET+CIT	Tbio+Tclin	0.196	0.894	0.665	1	0	0	1	1
TP00301	CCR5;PDCD1	CCR5	PDCD1	CET+CET	Tclin+Tclin	0.318	0.712	1.0	0	0	0	1	1
TP00302	CCR8;PDCD1	CCR8	PDCD1	CET+CET	Tchem+Tclin	0.357	0.89	0.573	0	0	0	5	2
TP00303	CD163;PDCD1	CD163	PDCD1	CET+CIT	Tbio+Tclin	0.147	0.696	1.0	0	0	0	1	1
TP00304	CD19;CD22	CD19	CD22	CIT+CIT	Tclin+Tclin	0.472	0.718	nan	2	2	2	1	2
TP00305	CD19;CD28	CD19	CD28	CET+CIT	Tbio+Tclin	0.372	0.76	nan	0	3	0	1	1
TP00306	CD19;CD3D	CD19	CD3D	CET+CIT	Tclin+Tclin	0.355	0.618	nan	3	1	0	10	4
TP00307	CD19;CD3E	CD19	CD3E	CET+CIT	Tclin+Tclin	0.33	0.633	nan	3	1	0	10	4
TP00308	CD19;CD3G	CD19	CD3G	CET+CIT	Tclin+Tclin	0.325	0.674	nan	2	1	0	10	4
TP00309	CD19;CD47	CD19	CD47	CET+CIT	Tchem+Tclin	0.232	0.704	nan	0	0	0	1	2
TP00310	CD19;CD79B	CD19	CD79B	CIT+CIT	Tclin+Tclin	0.624	0.761	nan	1	1	1	1	1
TP00311	CD19;CRBN	CD19	CRBN	CIT+CIT	Tclin+Tclin	0.138	0.441	nan	0	0	0	5	1
TP00312	CD19;CSNK1E	CD19	CSNK1E	CIT+CIT	Tclin+Tclin	0.277	0.292	nan	0	0	0	1	1
TP00313	CD19;MS4A1	CD19	MS4A1	CIT+CIT	Tclin+Tclin	0.57	0.788	nan	1	0	2	5	3
TP00314	CD19;PDCD1	CD19	PDCD1	CET+CIT	Tclin+Tclin	0.354	0.688	nan	0	0	1	1	3
TP00315	CD19;PIK3CD	CD19	PIK3CD	CIT+CIT	Tclin+Tclin	0.369	0.55	nan	3	4	1	2	2
TP00316	CD19;TNFRSF8	CD19	TNFRSF8	CIT+CIT	Tclin+Tclin	0.285	0.707	nan	0	0	0	1	2
TP00317	CD19;TNFRSF9	CD19	TNFRSF9	CET+CIT	Tbio+Tclin	0.215	0.76	nan	0	0	0	1	1
TP00318	CD22;CD28	CD22	CD28	CET+CIT	Tbio+Tclin	0.389	0.776	0.62	1	0	0	1	1
TP00319	CD22;CD3D	CD22	CD3D	CET+CIT	Tclin+Tclin	0.309	0.739	0.621	1	1	0	1	1
TP00320	CD22;CD3E	CD22	CD3E	CET+CIT	Tclin+Tclin	0.391	0.67	0.597	1	1	0	1	1
TP00321	CD22;CD3G	CD22	CD3G	CET+CIT	Tclin+Tclin	0.367	0.717	0.594	1	1	0	1	1
TP00322	CD22;MS4A1	CD22	MS4A1	CIT+CIT	Tclin+Tclin	0.47	0.776	0.698	1	0	1	2	2
TP00323	CD27;CD274	CD27	CD274	CET+CET	Tbio+Tclin	0.428	0.606	1.0	0	0	0	2	1
TP00324	CD27;PDCD1	CD27	PDCD1	CET+CET	Tbio+Tclin	0.433	0.818	1.0	0	0	0	2	2
TP00325	CD274;CD28	CD274	CD28	CET+CET	Tbio+Tclin	0.579	0.587	1.0	2	0	1	1	1
TP00326	CD274;CD38	CD274	CD38	CET+CET	Tclin+Tclin	0.39	0.753	0.788	0	0	0	2	2
TP00327	CD274;CD3D	CD274	CD3D	CET+CET	Tclin+Tclin	0.259	0.649	1.0	1	1	1	2	3
TP00328	CD274;CD3E	CD274	CD3E	CET+CET	Tclin+Tclin	0.545	0.591	1.0	1	1	1	2	3
TP00329	CD274;CD3G	CD274	CD3G	CET+CET	Tclin+Tclin	0.338	0.594	1.0	1	1	1	2	3
TP00330	CD274;CD40	CD274	CD40	CET+CET	Tchem+Tclin	0.436	0.716	1.0	1	0	1	2	2
TP00331	CD274;CD47	CD274	CD47	CET+CET	Tchem+Tclin	0.521	0.65	1.0	0	0	1	9	12
TP00332	CD274;CDK4	CD274	CDK4	CET+CIT	Tclin+Tclin	0.403	0.405	1.0	0	0	1	3	5
TP00333	CD274;CDK6	CD274	CDK6	CET+CIT	Tclin+Tclin	0.339	0.445	1.0	0	0	0	3	5
TP00334	CD274;CEACAM5	CD274	CEACAM5	CET+CIT	Tbio+Tclin	0.173	0.633	1.0	0	0	0	1	2
TP00335	CD274;CHEK1	CD274	CHEK1	CET+CIT	Tchem+Tclin	0.301	0.541	1.0	0	0	0	1	1
TP00336	CD274;CLDN18	CD274	CLDN18	CET+CIT	Tbio+Tclin	0.262	0.539	1.0	1	0	0	1	1
TP00337	CD274;CRBN	CD274	CRBN	CET+CIT	Tclin+Tclin	0.146	0.47	1.0	0	0	0	2	2
TP00338	CD274;CREBBP	CD274	CREBBP	CET+CIT	Tchem+Tclin	0.289	0.542	1.0	0	0	0	1	1
TP00339	CD274;CSF1R	CD274	CSF1R	CET+CET	Tclin+Tclin	0.391	0.599	1.0	0	0	1	4	5
TP00340	CD274;CTLA4	CD274	CTLA4	CET+CET	Tclin+Tclin	0.548	0.582	1.0	1	0	2	4	18
TP00341	CD274;CXCR4	CD274	CXCR4	CET+CIT	Tclin+Tclin	0.38	0.702	1.0	0	0	0	2	5
TP00342	CD274;CYP19A1	CD274	CYP19A1	CET+CIT	Tclin+Tclin	0.171	0.567	0.428	0	0	0	3	1
TP00343	CD274;DPP4	CD274	DPP4	CET+CIT	Tclin+Tclin	0.316	0.596	1.0	0	0	0	1	1
TP00344	CD274;EGFR	CD274	EGFR	CET+CIT	Tclin+Tclin	0.346	0.59	1.0	1	0	1	10	5
TP00345	CD274;EP300	CD274	EP300	CET+CIT	Tchem+Tclin	0.245	0.481	1.0	0	1	0	1	1
TP00346	CD274;EPCAM	CD274	EPCAM	CET+CIT	Tbio+Tclin	0.311	0.665	1.0	0	0	0	1	1
TP00347	CD274;ERBB2	CD274	ERBB2	CET+CIT	Tclin+Tclin	0.384	0.665	1.0	0	0	0	6	5
TP00348	CD274;ESR1	CD274	ESR1	CET+CIT	Tclin+Tclin	0.33	0.605	1.0	0	0	0	2	1
TP00349	CD274;ESR2	CD274	ESR2	CET+CIT	Tclin+Tclin	0.353	0.516	1.0	0	0	0	2	1
TP00350	CD274;EZH2	CD274	EZH2	CET+CIT	Tclin+Tclin	0.289	0.52	1.0	0	0	1	1	1
TP00351	CD274;FAP	CD274	FAP	CET+CIT	Tchem+Tclin	0.245	0.538	1.0	0	0	1	2	2
TP00352	CD274;FGFR1	CD274	FGFR1	CET+CIT	Tclin+Tclin	0.337	0.65	1.0	0	0	1	1	1
TP00353	CD274;FGFR3	CD274	FGFR3	CET+CIT	Tclin+Tclin	0.288	0.576	1.0	0	0	1	1	1
TP00354	CD274;FLT1	CD274	FLT1	CET+CET	Tclin+Tclin	0.341	0.669	1.0	0	0	1	7	14
TP00355	CD274;FLT3	CD274	FLT3	CET+CIT	Tclin+Tclin	0.35	0.648	1.0	0	0	1	1	1
TP00356	CD274;FLT4	CD274	FLT4	CET+CET	Tclin+Tclin	0.355	0.605	1.0	0	0	1	6	13
TP00357	CD274;FOXP3	CD274	FOXP3	CET+CET	Tbio+Tclin	0.495	0.505	1.0	0	0	0	1	1
TP00358	CD274;GEM	CD274	GEM	CET+CIT	Tbio+Tclin	0.389	0.601	1.0	0	0	0	1	1
TP00359	CD274;HAVCR2	CD274	HAVCR2	CET+CET	Tchem+Tclin	0.622	0.63	1.0	0	0	1	3	4
TP00360	CD274;HDAC1	CD274	HDAC1	CET+CIT	Tclin+Tclin	0.295	0.492	1.0	0	1	0	2	2
TP00361	CD274;HDAC10	CD274	HDAC10	CET+CIT	Tclin+Tclin	0.148	0.527	1.0	0	0	0	1	1
TP00362	CD274;HDAC2	CD274	HDAC2	CET+CIT	Tclin+Tclin	0.314	0.545	1.0	0	1	0	2	2
TP00363	CD274;HDAC3	CD274	HDAC3	CET+CIT	Tclin+Tclin	0.263	0.613	1.0	0	1	0	2	2
TP00364	CD274;HDAC8	CD274	HDAC8	CET+CIT	Tclin+Tclin	0.148	0.664	1.0	0	0	0	1	1
TP00365	CD274;ICOS	CD274	ICOS	CET+CET	Tbio+Tclin	0.394	0.603	1.0	1	0	1	1	1
TP00366	CD274;IDO1	CD274	IDO1	CET+CET	Tchem+Tclin	0.498	0.362	0.357	0	0	2	4	2
TP00367	CD274;IL15	CD274	IL15	CET+CET	Tchem+Tclin	0.484	0.591	1.0	0	0	0	3	1
TP00368	CD274;IL15RA	CD274	IL15RA	CET+CET	Tbio+Tclin	0.261	0.655	1.0	0	0	0	4	2
TP00369	CD274;IL2RA	CD274	IL2RA	CET+CET	Tclin+Tclin	0.568	0.544	1.0	0	0	1	3	2
TP00370	CD274;IL2RB	CD274	IL2RB	CET+CET	Tclin+Tclin	0.36	0.653	1.0	0	0	1	4	4
TP00371	CD274;IL2RG	CD274	IL2RG	CET+CIT	Tclin+Tclin	0.45	0.634	1.0	0	1	1	2	2
TP00372	CD274;IL6R	CD274	IL6R	CET+CET	Tclin+Tclin	0.453	0.547	1.0	0	0	0	1	2
TP00373	CD274;IL7R	CD274	IL7R	CET+CIT	Tbio+Tclin	0.478	0.721	1.0	0	0	0	1	4
TP00374	CD274;KDM1A	CD274	KDM1A	CET+CET	Tchem+Tclin	0.237	0.434	1.0	0	0	0	1	1
TP00375	CD274;KDR	CD274	KDR	CET+CET	Tclin+Tclin	0.358	0.644	1.0	0	0	1	13	15
TP00376	CD274;KLRC1	CD274	KLRC1	CET+CET	Tbio+Tclin	0.37	0.545	1.0	0	0	0	1	1
TP00377	CD274;KRAS	CD274	KRAS	CET+CIT	Tclin+Tclin	0.331	0.516	1.0	1	0	0	3	1
TP00378	CD274;LAG3	CD274	LAG3	CET+CET	Tclin+Tclin	0.532	0.661	1.0	0	0	0	3	3
TP00379	CD274;LGALS3	CD274	LGALS3	CET+CIT	Tchem+Tclin	0.399	0.64	1.0	0	0	1	1	1
TP00380	CD274;MAP2K1	CD274	MAP2K1	CET+CIT	Tclin+Tclin	0.33	0.611	1.0	1	0	1	4	11
TP00381	CD274;MAP2K2	CD274	MAP2K2	CET+CIT	Tclin+Tclin	0.282	0.526	1.0	1	0	1	3	9
TP00382	CD274;MDM2	CD274	MDM2	CET+CIT	Tchem+Tclin	0.251	0.613	1.0	0	0	1	2	3
TP00383	CD274;MET	CD274	MET	CET+CIT	Tclin+Tclin	0.349	0.579	1.0	0	0	1	4	5
TP00384	CD274;MKNK1	CD274	MKNK1	CET+CIT	Tchem+Tclin	0.241	0.489	1.0	0	0	1	1	1
TP00385	CD274;MKNK2	CD274	MKNK2	CET+CIT	Tchem+Tclin	0.308	0.561	1.0	0	0	1	1	1
TP00386	CD274;MS4A1	CD274	MS4A1	CET+CIT	Tclin+Tclin	0.383	0.747	1.0	0	0	0	1	1
TP00387	CD274;MSLN	CD274	MSLN	CET+CIT	Tbio+Tclin	0.166	0.619	1.0	0	0	0	1	1
TP00388	CD274;MTOR	CD274	MTOR	CET+CIT	Tclin+Tclin	0.296	0.488	1.0	1	0	1	1	2
TP00389	CD274;NECTIN4	CD274	NECTIN4	CET+CIT	Tclin+Tclin	0.097	0.659	1.0	0	0	0	2	1
TP00390	CD274;NR1H2	CD274	NR1H2	CET+CIT	Tchem+Tclin	0.302	0.511	1.0	0	0	0	1	1
TP00391	CD274;NT5E	CD274	NT5E	CET+CIT	Tchem+Tclin	0.158	0.744	1.0	0	0	1	2	4
TP00392	CD274;PARP1	CD274	PARP1	CET+CIT	Tclin+Tclin	0.265	0.562	1.0	0	0	0	6	6
TP00393	CD274;PARP2	CD274	PARP2	CET+CIT	Tclin+Tclin	0.205	0.517	1.0	0	0	0	5	6
TP00394	CD274;PCSK9	CD274	PCSK9	CET+CET	Tclin+Tclin	0.263	0.55	1.0	0	0	0	1	1
TP00395	CD274;PDCD1	CD274	PDCD1	CET+CET	Tclin+Tclin	0.389	0.641	1.0	2	1	3	8	5
TP00396	CD274;PDGFRA	CD274	PDGFRA	CET+CIT	Tclin+Tclin	0.308	0.594	1.0	0	0	1	1	1
TP00397	CD274;PDGFRB	CD274	PDGFRB	CET+CIT	Tclin+Tclin	0.354	0.604	1.0	0	0	1	3	4
TP00398	CD274;PLK4	CD274	PLK4	CET+CIT	Tchem+Tclin	0.142	0.534	1.0	0	0	0	1	1
TP00399	CD274;PMEL	CD274	PMEL	CET+CIT	Tclin+Tclin	0.077	0.599	1.0	0	0	0	1	1
TP00400	CD274;PRKDC	CD274	PRKDC	CET+CIT	Tchem+Tclin	0.266	0.474	1.0	0	0	0	1	1
TP00401	CD274;PTGER4	CD274	PTGER4	CET+CIT	Tclin+Tclin	0.476	0.576	1.0	0	0	0	1	1
TP00402	CD274;ROR2	CD274	ROR2	CET+CIT	Tbio+Tclin	0.371	0.499	1.0	0	0	1	1	1
TP00403	CD274;ROS1	CD274	ROS1	CET+CIT	Tclin+Tclin	0.255	0.442	1.0	0	0	0	1	1
TP00404	CD274;SEMA4D	CD274	SEMA4D	CET+CIT	Tbio+Tclin	0.38	0.562	1.0	0	0	0	1	1
TP00405	CD274;SLC39A6	CD274	SLC39A6	CET+CIT	Tbio+Tclin	0.074	0.584	0.1	0	0	0	1	1
TP00406	CD274;SMO	CD274	SMO	CET+CIT	Tclin+Tclin	0.289	0.636	1.0	0	0	0	1	1
TP00407	CD274;STAT3	CD274	STAT3	CET+CIT	Tchem+Tclin	0.419	0.596	1.0	1	1	2	1	2
TP00408	CD274;STING1	CD274	STING1	CET+CET	Tchem+Tclin	0.302	0.571	1.0	0	0	0	1	2
TP00409	CD274;TACSTD2	CD274	TACSTD2	CET+CIT	Tclin+Tclin	0.289	0.693	1.0	0	0	0	3	1
TP00410	CD274;TGFB1	CD274	TGFB1	CET+CET	Tbio+Tclin	0.361	0.544	1.0	0	0	3	9	13
TP00411	CD274;TGFB2	CD274	TGFB2	CET+CET	Tbio+Tclin	0.291	0.373	1.0	0	0	2	1	1
TP00412	CD274;TGFBR1	CD274	TGFBR1	CET+CIT	Tchem+Tclin	0.314	0.559	1.0	0	0	0	4	3
TP00413	CD274;TGFBR2	CD274	TGFBR2	CET+CIT	Tchem+Tclin	0.329	0.601	1.0	0	0	1	1	2
TP00414	CD274;TIGIT	CD274	TIGIT	CET+CET	Tbio+Tclin	0.462	0.591	1.0	1	0	1	4	9
TP00415	CD274;TLR7	CD274	TLR7	CET+CET	Tclin+Tclin	0.431	0.628	1.0	0	0	1	2	2
TP00416	CD274;TLR8	CD274	TLR8	CET+CET	Tchem+Tclin	0.476	0.732	0.325	0	0	1	2	2
TP00417	CD274;TLR9	CD274	TLR9	CET+CIT	Tclin+Tclin	0.522	0.645	0.576	1	0	0	1	1
TP00418	CD274;TNFRSF4	CD274	TNFRSF4	CET+CET	Tchem+Tclin	0.404	0.595	1.0	0	0	1	2	1
TP00419	CD274;TNFRSF9	CD274	TNFRSF9	CET+CET	Tbio+Tclin	0.245	0.58	1.0	0	0	1	12	11
TP00420	CD274;TNFSF4	CD274	TNFSF4	CET+CIT	Tbio+Tclin	0.589	0.563	1.0	0	0	1	1	1
TP00421	CD274;VEGFA	CD274	VEGFA	CET+CET	Tclin+Tclin	0.318	0.497	1.0	0	0	2	4	12
TP00422	CD274;WEE1	CD274	WEE1	CET+CIT	Tchem+Tclin	0.141	0.532	1.0	0	0	0	1	1
TP00423	CD274;XIAP	CD274	XIAP	CET+CIT	Tchem+Tclin	0.326	0.5	1.0	0	0	0	1	1
TP00424	CD276;CD28	CD276	CD28	CET+CIT	Tbio+Tbio	0.601	0.629	0.712	1	0	1	1	1
TP00425	CD276;CD3D	CD276	CD3D	CET+CIT	Tbio+Tclin	0.359	0.663	0.75	0	0	0	2	3
TP00426	CD276;CD3E	CD276	CD3E	CET+CIT	Tbio+Tclin	0.533	0.535	0.651	0	0	0	2	3
TP00427	CD276;CD3G	CD276	CD3G	CET+CIT	Tbio+Tclin	0.394	0.611	0.661	0	0	0	2	3
